after_split_name	page_title_short	page_title_long	page_title_longer_max-80	name	name_ed	surname	tl2_abbreviation_ed	is_supplement	conflicting_abbrev	tl2_abbreviation_alt	dates	description
TL_2_Suppl_1_0028.md	Adametz	Adametz, R. Leopold	Adametz, R. Leopold [std. Adametz]	Adametz, R. Leopold	Adametz, R. Leopold	Adametz	Adametz				1861-?	Moravian (Brünn, Brno) bacteriologist and veterinarian, educated in Zeidler's, Lehrund Erziehungsanstalt in Dresden (Saxony) 1870-1876; at the Wiedner Communal-Oberrealschule in Wien (Vienna) 1876-1881, studied at the Hochschule für Bodenkultur, Wien Jul 1881-Jul 1884, at the University of Leipzig 1884-1886, Ph. D. Leipzig 1886; later extraordinary professor of animal husbandry in Krakau, ordinary profes- sor ib. 1891. 
TL_2_Suppl_1_0029.md	Adami	Adami, Ernst Daniel	Adami, Ernst Daniel [std. Adami]	Adami, Ernst Daniel	Adami, Ernst Daniel	Adami	Adami				1716-1795	German (born in Zduny (Posen/Poznan)) botanist and highschool teacher at Landeshutt (Lower Silesia), died in Pommerwitz (Silesia). 
TL_2_Suppl_1_0030.md	Adamović (Suppl.)	Adamović, Lujo (Suppl.)	Adamović, Lujo [std. Adamović] (Suppl.)	*Adamovic, Lujo	Adamović, Lujo	Adamovic	Adamović	(Suppl.)			1864-1935	"Dalmatian botanist, born at Dubrovnik (Ragusa); distributed Dalmatian plant material in 1889; in Serbia 1889, highschool teacher at Vranja 1890-1900, Dr. phil. Berlin 1898 with Engler. Director of the Botanical Garden and professor of botany in Belgrade 1901-1905, ""Habilitation"" Univ. Vienna 1906; ""Privatdozent"" 1906-1914; employed by the Austrian govt. to study the floristics of the Balcan peninsula from 1906 onward. In retirement living in Dubrovnik, Dalmatia. "
TL_2_Suppl_1_0031.md	G. Adams, Sr.	Adams, George Sr.	Adams, George Sr. [std. G. Adams, Sr.]	Adams, George Sr.	Adams, George Sr.	Adams	G. Adams, Sr.				1720-1786	British optician and mathematical instrument maker. 
TL_2_Suppl_1_0032.md	G. Adams, Jr.	Adams, George Jr.	Adams, George Jr. [std. G. Adams, Jr.]	Adams, George Jr.	Adams, George Jr.	Adams	G. Adams, Jr.				1750-1795	London optician and microscopist. 
TL_2_Suppl_1_0033.md	M.F. Adams (Suppl.)	Adams, [Adam], [Johann] Michael Friedrich (Suppl.)	Adams, [Adam], [Johann] Michael Friedrich [std. M.F. Adams] (Suppl.)	*Adams, [Adam], [Johann] Michael Friedrich	Adams, [Adam], [Johann] Michael Friedrich	Adams	M.F. Adams	(Suppl.)			1780-1829/1832	Russian botanist, zoologist, and collector, studied medicine in St. Petersburg 1795-1796, travelled with Count Mussin-Pushkin in Transcaucasia 1800-1805; later with Golowkin to China, travelled along the Lena 1806-1807, settled later in Moscow as adj. professor of botany at the medical academy. 
TL_2_Suppl_1_0034.md	J. Adams	Adams, John	Adams, John [std. J. Adams]	Adams, John	Adams, John	Adams	J. Adams				1872-1950	Irish botanist at Dublin, M.A. Cantab. [Cambridge], lecturer in botany at Dublin municipal technical school, assistant professor of botany, R. Veterinarian College Dublin; Dominion (economic) Botanist of Canada at Ottawa 1914-1938. 
TL_2_Suppl_1_0035.md	Adamski	Adamski, Maximilien [Maximilianus Joseph Adalbertus Andreas Antonius]	Adamski, Maximilien [Maximilianus Joseph ...] [std. Adamski]	Adamski, Maximilien [Maximilianus Joseph Adalbertus Andreas Antonius]	Adamski, Maximilien [Maximilianus Joseph Adalbertus Andreas Antonius]	Adamski	Adamski				1796-1841	Polish (Posen) botanist. 
TL_2_Suppl_1_0036.md	Adamson (Suppl.)	Adamson, Robert Stephen (Suppl.)	Adamson, Robert Stephen [std. Adamson] (Suppl.)	*Adamson, Robert Stephen	Adamson, Robert Stephen	Adamson	Adamson	(Suppl.)			1885-1965	British botanist, educated Kelvinside Academy, Glasgow, studied at Univ. Edinburgh 1902-1907 (M.A. and D.Sc.), at Emmanuel College, Cambridge 1907-1912, M.A. Cant. 1912, lecturer at Manchester Univ. 1907-1923, second Harry Bolus Professor at Cape Town University 1923-1950, retired 1950 and settled again in Great Britain 1955. 
TL_2_Suppl_1_0037.md	Adans. (Suppl.)	Adanson, Michel (Suppl.)	Adanson, Michel [std. Adans.] (Suppl.)	*Adanson, Michel	Adanson, Michel	Adanson	Adans.	(Suppl.)			1727-1806	French botanist and explorer, born in Aix-en-Provence, from 1730 resident in Paris, educated at the Collège du Cardinal Lemoine and the Collège de France, later at the Jardin du Roi and the Collège Royal, more specifically interested in botany from 1745; in Senegal as a bookkeeping clerk, but with the purpose to study the botany of the area 1749-1754; from then on in Paris mainly dedicated to botany, member of Académie Royale des Sciences in various ranks from 1750. 
TL_2_Suppl_1_0038.md	Ade	Ade, Alfred	Ade, Alfred [std. Ade]	Ade, Alfred	Ade, Alfred	Ade	Ade				1876-1968	German amateur botanist, born in Sarbogard in Hungary, educated in München at the Max-Gymnasium (1887-1893), at the Veterinarian college in München; district veterinarian at Brückenau from 1912, later idem at Gemünden a. Main, Dr. h.c. University of Würzburg 1951. 
TL_2_Suppl_1_0039.md	Aderhold	Aderhold, Rudolf Ferdinand Theodor	Aderhold, Rudolf Ferdinand Theodor [std. Aderhold]	Aderhold, Rudolf Ferdinand Theodor	Aderhold, Rudolf Ferdinand Theodor	Aderhold	Aderhold				1865-1907	German (Thüringen) mycologist and phytopathologist; educated at the Realgymnasium in Frankenhausen and, from 1882, in Nordhausen, at the University of Jena 1884, studying especially botany; 1885-1886 at the University of Berlin with Eichler and Schwendener, from 1886 again in Jena as assistant in the Botanical Institute until 1888; Dr. phil. ib. 9 Apr 1888; teacher's curriculum 1888-1889, on active service 1889-1890, teacher at Iserlohn 1890-1891, at Dortmund 1891; assistant at the horticultural academy at Geisenheim a. Rh. 1891-1893, teacher at the pomological institute at Proskau 1893 (succeeding Sorauer)-1901, with the Sanitary Board (Kais. Gesundheitsamt) in Berlin 1901-1905, with the biology institution for agriculture and sylviculture at Dahlem 1905, as director until 1907. 
TL_2_Suppl_1_0040.md	Aderholdt	Aderholdt, August Eduard	Aderholdt, August Eduard [std. Aderholdt]	Aderholdt, August Eduard	Aderholdt, August Eduard	Aderholdt	Aderholdt				1828-1890	"German (Sachsen) physicist and chemist, born in Nordhausen, educated at the Nordhausen ""Gymnasium"", studied at the Friedrich Wilhelm University (Bonn). "
TL_2_Suppl_1_0041.md	W. Adler	Adler, Wilhelm	Adler, Wilhelm [std. W. Adler]	Adler, Wilhelm	Adler, Wilhelm	Adler	W. Adler				fl. 1834-1843	German botanist and proprietor of an estate in Wohlsdorf in the Ziegenrücker Kreis, Prussian Saxony (exclave in Thüringen). 
TL_2_Suppl_1_0042.md	Adlerz (Suppl.)	Adlerz, Ernst (Suppl.)	Adlerz, Ernst [std. Adlerz] (Suppl.)	*Adlerz, Ernst	Adlerz, Ernst	Adlerz	Adlerz	(Suppl.)			1854-1918	Swedish botanist (bryologist) and teacher, educated at Linköping and Uppsala, fil. kand. Uppsala 1878, fil. lic. 1881, fil. dr. 1882, lecturer natural history and chemistry at a highschool in Örebro from 1885. 
TL_2_Suppl_1_0043.md	Adriani	Adriani, Marcus Jan	Adriani, Marcus Jan [std. Adriani]	Adriani, Marcus Jan	Adriani, Marcus Jan	Adriani	Adriani				1908-x	Dutch geobotanist of the Montpellier school. 
TL_2_Suppl_1_0044.md	Ährling	Ährling, Johan Erik Ewald	Ährling, Johan Erik Ewald [std. Ährling]	Ährling, Johan Erik Ewald	Ährling, Johan Erik Ewald	Ährling	Ährling				1837-1888	Swedish (Södermanland) botanist, educated at Maria School and Gymnasium, Stockholm, studied at Uppsala University 1856, fil. kand. ib. 1867, dr. phil. ib. 1872, amanuensis at the Uppsala botanical institute 1863-1867, teacher at a state grammar school Arboga 1868-1888. 
TL_2_Suppl_1_0045.md	Aellen (Suppl.)	Aellen, Paul (Suppl.)	Aellen, Paul [std. Aellen] (Suppl.)	*Aellen, Paul	Aellen, Paul	Aellen	Aellen	(Suppl.)			1896-1973	Swiss (Basel) botanist and teacher, studied natural sciences at the University of Basel 1915-ca. 1920; director of the École Pestalozzi, Schaffhausen 1921-1927; teacher at various institutions at Basel 1928-1958; specialist on Chenopodium and allies. 
TL_2_Suppl_1_0046.md	Afzel. (Suppl.)	Afzelius, Adam (Suppl.)	Afzelius, Adam [std. Afzel.] (Suppl.)	*Afzelius, Adam	Afzelius, Adam	Afzelius	Afzel.	(Suppl.)			1750-1837	Swedish botanist, studied at Uppsala University from 1768, Dr. phil. ib. 1776, hon. Dr. med. 1797, lecturer oriental languages ib. 1777, adjunct philosophy 1780, id. medicine and botanical assistant 1785, professor of botany 1803-1805; professor of materia medica from 1812, visited Sierra Leone 1792-1793, and again 1794-1796, travelled in England and Scotland 1798. 
TL_2_Suppl_1_0047.md	A.A. Afzel.	Afzelius, Arvid August	Afzelius, Arvid August [std. A.A. Afzel.]	Afzelius, Arvid August	Afzelius, Arvid August	Afzelius	A.A. Afzel.				1785-1872	Swedish clergyman, studied at Uppsala, Dr.phil. 1809, ordained 1811, ultimately dean at Enköping. 
TL_2_Suppl_1_0048.md	K. Afzel.	Afzelius, Karl [Rudolf]	Afzelius, Karl [Rudolf] [std. K. Afzel.]	Afzelius, Karl [Rudolf]	Afzelius, Karl [Rudolf]	Afzelius	K. Afzel.				1887-x	Swedish botanist, educated at primary and secondary schools in Stockholm, from 1906-1911 at Stockholm University, fil. mag. ib. 1911, fil. lic. ib. 1915, scientist at the Hortus Bergianus from 1915, later at the Botanical Department of the Stockholm Natural History Museum, travelled in Madagascar 1912-1913, lecturer in botany at Stockholm University 1925. 
TL_2_Suppl_1_0049.md	P.C. Afzel.	Afzelius, Pehr Conrad	Afzelius, Pehr Conrad [std. P.C. Afzel.]	Afzelius, Pehr Conrad	Afzelius, Pehr Conrad	Afzelius	P.C. Afzel.				1817-1850	Swedish botanist, son of Adam Afzelius, studied at Uppsala 1836, med. kand. ib. 1848. 
TL_2_Suppl_1_0050.md	C. Agardh (Suppl.)	Agardh, Carl Adolph (Suppl.)	Agardh, Carl Adolph [std. C. Agardh] (Suppl.)	*Agardh, Carl Adolph	Agardh, Carl Adolph	Agardh	C. Agardh	(Suppl.)			1785-1859	"Swedish botanist at Lund; studied at Lund University 1799-1805; Dr. phil. ib. 1805; ""docent"" in mathematics 1807; ""demonstrator"" in botany 1810; ""adjunct"" in applied economy 1811; professor of botany and applied economy, succeeding Retzius, 1812; in various ecclesiastical functions from 1816; bishop Karlstads stift 1835; bishop 1837; dr. theol. (1844) 1845; d. Karlstad 28 Jun 1859; travelled in Europe; Denmark, Germany and Poland 1809; Denmark, Germany, Netherlands, Belgium, France and Italy 1821, 1827, 1833. "
TL_2_Suppl_1_0051.md	J. Agardh (Suppl.)	Agardh, Jacob Georg (Suppl.)	Agardh, Jacob Georg [std. J. Agardh] (Suppl.)	*Agardh, Jacob Georg	Agardh, Jacob Georg	Agardh	J. Agardh	(Suppl.)			1813-1901	Swedish botanist in Lund, son of C.A. Agardh, studied at Lund University from 1826, Dr. phil. ib. 1832, Dr. med. honoris causa Copenhagen 1879; lecturer in botany at the University of Lund 1834, adjunct and botanical demonstrator 1836, extraordinary professor of botany 1847, ordinary professor ib. 1854-1879; travelled and botanized in Italy (1836-1837, 1840), France (1836-1837, 1856), England and Scotland (1836-1837, 1854); outstanding algologist. 
TL_2_Suppl_1_0052.md	Agharkar	Agharkar, Shankar Purusottum	Agharkar, Shankar Purusottum [std. Agharkar]	Agharkar, Shankar Purusottum	Agharkar, Shankar Purusottum	Agharkar	Agharkar				1884-1960	Indian botanist (Bombay born), educated at Ratnagiri and Dhawar, from 1901-1909 at the University of Bombay, B.A. 1906, M.A. botany, zoology and geology 1908, lecturer and head of the Biology Department of Elphinston College Bombay 1910-1913, at the Indian Museum Calcutta 1911-early 1914, Ghosh professor of botany at the University of Calcutta 1913, studied at the University of Berlin with A. Engler 1914, temporarily interned 1914- 1917, again with Engler et al. 1917-1919, Dr. phil. Univ. Berlin December 1919, visited the major European herbaria 1920 obtaining a basis for the herbarium CAL, from July 1919 at the Botany Dept. of Calcutta University until 1946, from then on resident at Poona. 
TL_2_Suppl_1_0053.md	Agnér	Agnér, Gustaf Frederik Hjalmar	Agnér, Gustaf Frederik Hjalmar [std. Agnér]	Agnér, Gustaf Frederik Hjalmar	Agnér, Gustaf Frederik Hjalmar	Agnér	Agnér				1854-1898	Swedish physician and botanist, studied at secondary schools at Växjö and Lund, medical student at the Stockholm Karolingska Institut 1889; practising physician ib. from 1892-1898. 
TL_2_Suppl_1_0054.md	Agnethler	Agnethler, Michael Gottlieb, Ritter von	Agnethler, Michael Gottlieb, Ritter von [std. Agnethler]	Agnethler, Michael Gottlieb, Ritter von	Agnethler, Michael Gottlieb, Ritter von	Agnethler	Agnethler				1719-1752	"Transilvanian Saxonian (Hermannstadt) physician, botanist, numismatist and theologian, studied theology in Hermannstadt [present Sibiu, Rumania] and (1742) Halle, Dr. phil. ib. 1750, Dr. med. ib. 1751, also dedicating himself to theology, philosophy and history, later studying medicine, ultimately professor at the University (""Academy"") of Helmstädt. "
TL_2_Suppl_1_0055.md	Agosti (Suppl.)	Agosti, Giuseppe, Conte (Suppl.)	Agosti, Giuseppe, Conte [std. Agosti] (Suppl.)	*Agosti, Giuseppe, Conte	Agosti, Giuseppe, Conte	Agosti	Agosti	(Suppl.)			1715-1786	Italian jesuit and botanist at Belluno. 
TL_2_Suppl_1_0056.md	Ahern	Ahern, George Patrick	Ahern, George Patrick [std. Ahern]	Ahern, George Patrick	Ahern, George Patrick	Ahern	Ahern				1859-1942	American forester, organizer of the Bureau of Forestry, Philippines 1910, collector and organizer of plant collecting in the Philippines 1910-1915, captain, later lieutenant colonel, in the 9th U.S. Infantry; after 1915 on duty at the Army War College, living in Washington D.C. 
TL_2_Suppl_1_0057.md	Ahles (Suppl.)	Ahles, Wilhelm Elias von (Suppl.)	Ahles, Wilhelm Elias von [std. Ahles] (Suppl.)	*Ahles, Wilhelm Elias von	Ahles, Wilhelm Elias von	Ahles	Ahles	(Suppl.)			1829-1900	"German (Württemberg) botanist, Dr. phil. Jena 1853; high school teacher Heidelberg 1853, private lecturer (""Privatdozent"") at the University of Heidelberg, 1859, professor of general and pharmaceutical botany at the technical University Stuttgart 1885-1899. "
TL_2_Suppl_1_0058.md	Ahlfvengren	Ahlfvengren, Frederik Elias	Ahlfvengren, Frederik Elias [std. Ahlfvengren]	Ahlfvengren, Frederik Elias	Ahlfvengren, Frederik Elias	Ahlfvengren	Ahlfvengren				1862-1921	Swedish botanist, studied at a secondary school in Visby 1876-1882, at the University of Lund 1883, fil. kand. ib. 1888, fil. lic. 1893, Dr. phil. 1897; teacher at various schools in the Stockholm area 1894-1902; lector in natural history and chemistry at a secondary school at Holmstad 1902, idem in Stockholm (Norrmalen) from 1909; from 1883 an active member of Lunds botaniska förening. 
TL_2_Suppl_1_0059.md	K. Ahlner (Suppl.)	Ahlner, Klas (Suppl.)	Ahlner, Klas [std. K. Ahlner] (Suppl.)	*Ahlner, Klas	Ahlner, Klas	Ahlner	K. Ahlner	(Suppl.)			1845-1932	Swedish botanist and highschool teacher, studied at a secondary school in Uppsala from 1864, teacher at a school in Växjo 1872-1911, Dr. phil. Uppsala 1879. 
TL_2_Suppl_1_0060.md	Ahlner	Ahlner, Sten Gustaf Edward	Ahlner, Sten Gustaf Edward [std. Ahlner]	Ahlner, Sten Gustaf Edward	Ahlner, Sten Gustaf Edward	Ahlner	Ahlner				1905-x	Swedish lichenologist; studied at the University of Uppsala, fil. mag. 1930, fil. lic. 1936, Dr. phil. Uppsala 1948, lecturer at the University of Uppsala, from 1950 at the Naturhistoriska Riksmuseum, Stockholm. 
TL_2_Suppl_1_0061.md	Ahlquist	Ahlquist, Abraham	Ahlquist, Abraham [std. Ahlquist]	Ahlquist, Abraham	Ahlquist, Abraham	Ahlquist	Ahlquist				1794-1844	"Swedish (Öland) vicar, rural dean and botanist, studied at Uppsala from 1813, Dr. phil. ib. 1818, at highschool in Kalmar 1820, teacher in natural history at the Kalmar ""gymnasium"" 1821-1826, conrector ib. 1825, later pastor in Runsten, Öland, from 1831 as dean. "
