irn	organization	code	division	department	cites	specimenTotal	currentStatus	dateFounded	taxonomicCoverage	geography	address	contact	location	collectionsSummary	incorporatedHerbaria	importantCollectors	notes	dateModified
125705	Pomona College	POM				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Claremont', 'physicalState': 'California', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '', 'postalCity': 'Claremont', 'postalState': 'California', 'postalZipCode': '91711', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 34.086395, 'lon': -117.708931}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Arp 2015. POM (370 000 specimens) integrated with RSA since 1966. Specimens from Pomona College Herbarium should be cited as POM. Contact Mare Nazaire (mnazaire@rsabg.org).	2018-01-12
124292	Derby Museum and Art Gallery	DBY				10000	Active				{'physicalStreet': '', 'physicalCity': 'Derby', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'The Strand', 'postalCity': 'Derby, Derbyshire,', 'postalState': 'England', 'postalZipCode': 'DE1 1BS', 'postalCountry': 'U.K.'}	{'phone': '[44] 1332 716659', 'email': 'museums@derby.gov.uk', 'webUrl': ''}	{'lat': 52.92332, 'lon': -1.480181}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['E. S. Carr', 'T. Gibbs', 'K. Hollick', 'W. R. Linton', 'W. H. Painter', 'J. Whittaker', 'A. Willmot']	Updated Aug 2008.	2018-01-12
126959	inatura Erlebnis Naturschau GmbH	BREG			AT 016	35000	Active	1850		Vorarlberg, Austria.	{'physicalStreet': '', 'physicalCity': 'Dornbirn', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Austria', 'postalStreet': 'Jahngasse 9', 'postalCity': 'Dornbirn', 'postalState': '', 'postalZipCode': 'A-6850', 'postalCountry': 'Austria'}	{'phone': '[43] 5572 23235', 'email': '', 'webUrl': ''}	{'lat': 47.40971, 'lon': 9.7375}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Aug 2010.	2018-01-12
125803	Rocky Mountain Research Station, USDA Forest Service	FPF				12000	Inactive	1952	Forest fungi; <Phoradendron>; <Arceuthobium>; fungi from western North America collected 1890 to 1960 that represent fungi causing tree diseases and wood decays	Worldwide; U.S., Rocky Mountains, northern Mexico	{'physicalStreet': '', 'physicalCity': 'Flagstaff', 'physicalState': 'Arizona', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '2500 S. Pine Knoll Dr.', 'postalCity': 'Flagstaff', 'postalState': 'Arizona', 'postalZipCode': '86001', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 0, 'lon': 0}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 4622, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['L. S. Gill', 'F. G. Hawksworth', 'G. G. Hedgcock', 'R. S. Peterson', 'J. M. Staley', 'J. R. Weir', 'D. Wiens']	Updated Aug 2013.    The fungal specimens are still under the ownership of the Rocky Mountain Research Station in Fort Collins CO, but the collections are now physically located at the RMRS lab in Flagstaff, AZ.   FPF mistletoe collection being dispersed to US and UC. FPF is no longer accepting or lending mistletoe specimens.	2018-01-12
125646	Pakistan Agricultural Research Council	RAW				100000	Active	1912		Pakistan, western Himalaya, Karakoram, Hindukush	{'physicalStreet': 'National Agricultural Research Centre, Park Road.', 'physicalCity': 'Islamabad', 'physicalState': 'Islamabad', 'physicalZipCode': '', 'physicalCountry': 'Pakistan', 'postalStreet': 'Park Road', 'postalCity': 'Islamabad', 'postalState': 'Islamabad', 'postalZipCode': '45500', 'postalCountry': 'Pakistan'}	{'phone': '[92] 51 925 50 42', 'email': 'amirsultan_2000@yahoo.com', 'webUrl': ''}	{'lat': 33.720043, 'lon': 73.095826}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Aug 2013 (staff update). Formerly the Stewart Herbarium, Gordon College, Rawalpindi. RAW transferred to Pakistan Agricultural Research Council, Islamabad, in 1974.  Ministry of Food and Agriculture.	2018-01-12
126395	Universidad Nacional de Colombia	VALLE	Facultad de Ciencias Agropecuarias	Departamento de Ciencias Básicas		13200	Active	1939		Mainly Cauca Valley and departments of Cauca, Valle, Meta, Quindío, Risaralda, and Caldas	{'physicalStreet': 'Chapinero Carrera 32.', 'physicalCity': 'Palmira', 'physicalState': 'Valle del Cauca', 'physicalZipCode': '', 'physicalCountry': 'Colombia', 'postalStreet': 'Apartado Aéreo 237', 'postalCity': 'Palmira', 'postalState': 'Valle del Cauca', 'postalZipCode': '', 'postalCountry': 'Colombia'}	{'phone': '', 'email': 'leforerop@unal.edu.co', 'webUrl': ''}	{'lat': 3.519569, 'lon': -76.294418}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['E. I. Dryander', 'J. Cuatrecasas', 'O. Haught', 'E. P. Killip', 'J. M. Duque Jaramillo']	Updated Aug 2014.  Financial restrictions on loans.	2018-01-12
126314	Universidad de Sevilla	SEV	Centro de Investigación Tecnología e Innovación			300000	Active	1965	Vascular plants	Western Andalusian and Nord Moroco	{'physicalStreet': 'Avenida Reina Mercedes.', 'physicalCity': 'Sevilla', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Spain', 'postalStreet': 'Edificio Celestino Mutis Avenida Reina Mercedes s/n', 'postalCity': 'Sevilla', 'postalState': '', 'postalZipCode': '41012', 'postalCountry': 'Spain'}	{'phone': '[34] 955 420 844\n[34] 955 420 843', 'email': 'herbariosev@us.es', 'webUrl': ''}	{'lat': 37.382111, 'lon': -5.98556}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	['SEVF (22 000 specimens) in 1999.']	['C. Boutelou']	Updated Sep 2015 (general update).	2018-01-12
126980	University of Warsaw	WA		Faculty of Biology		450000	Active	1917	All groups	Worldwide, especially Poland	{'physicalStreet': '', 'physicalCity': 'Warszawa', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Poland', 'postalStreet': 'Zwirki i Wigury 101', 'postalCity': 'Warszawa', 'postalState': '', 'postalZipCode': 'PL-02-089', 'postalCountry': 'Poland'}	{'phone': '[48] 22 22 552 66 87', 'email': 'mgraniszewska@biol.uw.edu.pl', 'webUrl': ''}	{'lat': 52.225288, 'lon': 21.023748}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['S. Lisowski', 'F. Blonski', 'W. Zablocki', 'T. Chalubinski', 'A. Michalski', 'W. Lackowitz', 'F. K. Karo', 'H. Czeczott', 'J. Zablocki']	Updated Sep 2016 (address update).	2018-01-12
124707	Harrow School	HWB		Biology Department		500	Inactive			England.	{'physicalStreet': '', 'physicalCity': 'London', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Football Lane', 'postalCity': 'Harrow-on-the-Hill, Middlesex', 'postalState': 'England', 'postalZipCode': 'HA1', 'postalCountry': 'U.K.'}	{'phone': '[44] 20 8872 8267', 'email': '', 'webUrl': ''}	{'lat': 51.566761, 'lon': -0.34068}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Sep 2017.  HWB (500 specimens) transferred to the National Botanic Garden of Wales.  https://botanicgarden.wales/science/collections/herbarium/	2018-01-12
127008	Museum für Naturkunde	MSTR				500000	Active	1872		Westphalia and adjacent regions; Europe	{'physicalStreet': 'Sentruper Str. 285', 'physicalCity': 'Münster', 'physicalState': '', 'physicalZipCode': '48161', 'physicalCountry': 'Germany', 'postalStreet': 'Sentruper Straße 285', 'postalCity': 'Münster', 'postalState': '', 'postalZipCode': '48161', 'postalCountry': 'Germany'}	{'phone': '[49] 251 591 6020', 'email': 'bernd.tenbergen@lwl.org', 'webUrl': ''}	{'lat': 51.945942, 'lon': 7.58802}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['K. Beckhaus', 'H. Brockhausen', 'D. Büscher', 'W. Dahms', 'J. B. H. Echterling', 'K. Farenholtz', 'U. P. Hamann', 'K. Hünerbein', 'A. Karsch', 'P. Kirchern', 'J. G. F. Lahm', 'J. A. Luyken', 'T. Muer', 'H. Neidhardt', 'H. Preuss', 'A. Runge', 'W. Schemmann', 'I. Sonneborn', 'C. W. L. E. Suffrian', 'W. von der Mark', 'C. A. E. von Spiessen', 'J. Wattendorff', 'C. E. A. Weihe', 'E.-M. Wentz', 'G. Wenzel']	Updated Sep 2017. The main part of the herbarium MSUN (Herbarium Fred Daniels) from the University Muenster (WWU) was transferred to MSTR in 2009. The total herbarium of the Fuhlrott-Museum (Wuppertal) was transferre!	2018-01-12
125329	Museo di Storia Naturale di Venezia	MCVE				26000	Active	1987		Fungi of Italy, especially Venice and northern part.	{'physicalStreet': '', 'physicalCity': 'Venice', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Italy', 'postalStreet': 'S. Croce 1730', 'postalCity': 'Venezia', 'postalState': '', 'postalZipCode': 'I-30135', 'postalCountry': 'Italy'}	{'phone': '[39] 041 275 02 06', 'email': 'robich@alice.it', 'webUrl': ''}	{'lat': 45.438408, 'lon': 12.322565}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['F. Bersan', 'E. Bizio', 'A. Bizzi', 'E. Campo', 'M. Carbone', 'M. Contu', 'G. Consiglio', 'F. Doveri', 'R. Flores', 'P. Franchi', 'L. Gori', 'C. Losi', 'M. Marchetti', 'G. Medardi', 'A. Montecchi', 'G. Ricci', 'G. Robich', 'G. Simonini', 'J. Vauras', 'G. Zecchin']	Updated Dec 2017 (staff).	2018-01-12
125433	National and Kapodistrian University of Athens	ATHU		Faculty of Biology		107000	Active	1850		Worldwide, especially Greece	{'physicalStreet': '', 'physicalCity': 'Athens', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Greece', 'postalStreet': 'Panepistimiopolis', 'postalCity': 'Athens', 'postalState': '', 'postalZipCode': 'GR-157 84', 'postalCountry': 'Greece'}	{'phone': '[30] 2107274325', 'email': '', 'webUrl': ''}	{'lat': 37.988125, 'lon': 23.728739}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	['Benaki Phytopathological Institute.']	['T. von Heldreich', 'T. G. Orphanides', 'B. Tuntas']	Updated Dec 2017 (Staff).  The mycological portion of the herbarium has now been registered as a separate collection under the code ATHUM.  Types not sent on loan. Vascular plants collections open upon request. Director of ATHU is the only staff member of the Botanical Museum. Others listed  are staff members of the Department of Ecology and Systematics, Faculty of Biology, University of Athens.	2018-01-12
124998	Java Sugar Experimental Station	PAS				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Pasuruan', 'physicalState': 'Java', 'physicalZipCode': '', 'physicalCountry': 'Indonesia', 'postalStreet': '', 'postalCity': 'Pasuruan', 'postalState': 'Java', 'postalZipCode': '', 'postalCountry': 'Indonesia'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': -6.859, 'lon': 108.804604}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Feb 2006. PAS on permanent loan to BO. Contact Eko Baroto Walujo, herbogor@indo.net.id	2018-01-12
